"COD_EMPRESA","NUM_PEDIDO","NUM_SEQUENCIA","DEN_TEXTO_1","DEN_TEXTO_2","DEN_TEXTO_3","DEN_TEXTO_4","DEN_TEXTO_5"
"01",10388,2,"REFERENCIA SANDVIK: 442.8249                                                ",(null),(null),(null),(null)
"01",18351,1,"95 PEÁAS IMEDIATA                                                           ","105 PEÁAS CONSIDERAR 19/2                                                   ",(null),(null),(null)
"01",27448,3," - INOX 316L - 75KG - ÿ295 X 276 X 1050                                     ",(null),(null),(null),(null)
"01",20749,2,"ANEL DE CORTE DO HP 4                                                       ",(null),(null),(null),(null)
"01",17862,0,"GRELHA TRATADA EM A«O 5160 LARG.1.1/2""XCOMP.444MMXRESS 1.5-1,8MMX ESP.5/16"" ","TRATAMENTO TERMICO EM OLEO                                                  ","POSI«√O DOS RESSALTOS ALINHADOS                                             ",(null),(null)
"01",18979,0,"PRECO ESPECIAL PARA TESTE.                                                  ",(null),(null),(null),(null)
"01",20634,0,"PRAZO DE ENTREGA: A COMBINAR                                                ",(null),(null),(null),(null)
"01",11856,0,"1) PRAZO DE ENTREGA: 03 DIAS UTEIS A CONTAR DA DATA DA CONFIRMACAO DO PEDIDO",(null),(null),(null),(null)
"01",20749,1,"MATA FINA  HP 4 COD. N 55309257                                             ",(null),(null),(null),(null)
"01",19780,1,"MAND.FX. BIPARTIDA D.ONDULADO. (9 DENTES) C 125 *814320042000* PESO 961 KG  ",(null),(null),(null),(null)
"01",19780,2,"MAND.MV D.ONDULADO(10 DENTES) BIPARTIDA C 125 *814320042700* PESO 1060KG    ",(null),(null),(null),(null)
"01",19246,4,"MANTA TIPO B H4800 -442.723.001                                             ",(null),(null),(null),(null)
"01",27448,4," - INOX 316L - 55KG - ÿ285 X 101                                            ",(null),(null),(null),(null)
"01",27448,5," - INOX 316L - 55KG - ÿ2""7/8 X 1565                                         ",(null),(null),(null),(null)
"01",27448,6," - INOX 316L - 55KG - ÿ505 X 375 X 76                                       ",(null),(null),(null),(null)
"01",27448,7," - INOX 316L - 25KG - ÿ293 X 1""1/2                                          ",(null),(null),(null),(null)
"01",27448,8," - INOX 316L - 50KG - ÿ255 X 165 X 140                                      ",(null),(null),(null),(null)
"01",27448,0,"PRAZO DE ENTREGA: A CONFIRMAR                                               ","PESO DE BALAN«A CONSIDERADO PARA FATURAMENTO: BALAN«A PIACENTINI            ","CERTIFICADO DE ANALISE QUIMICA.                                             ",(null),(null)
"01",16800,0,"1) PRAZO DE ENTREGA: 15 DIAS A CONTAR DA DATA DA CONFIRMACAO DO PEDIDO      ","2) AS QUANTIDADES DESCRITAS NESTE ORCAMENTO REFEREM-SE ¿ 02 JOGOS DE CADA   ","RESSALTO                                                                    ",(null),(null)
"01",19246,3,"MANTA TIPO B S 3000 442.847.101                                             ",(null),(null),(null),(null)
"01",11806,1,"REFERENCIA: REVESTIMENTO DO CONE POS. 15 - DESENHO 01-053                   ",(null),(null),(null),(null)
"01",11806,2,"REFERENCIA: CUNHA DO REVESTIMENTO POS. 14 - DESENHO 01-052/01               ",(null),(null),(null),(null)
"01",19246,5,"REVEST. CAMARA TIPO MC H4800 - 442.842.001                                  ",(null),(null),(null),(null)
"01",11806,3,"REFERENCIA: REVESTIMENTO DO CONE POS. 14 - DESENHO 01-052                   ",(null),(null),(null),(null)
"01",11806,0,"1) PRAZO DE ENTREGA: 45 / 60 DIAS A CONTAR DA DATA DA CONFIRMA«√O DO PEDIDO ","2) OS MODELOS PARA FABRICACAO DAS PECAS SERAO POR CONTA DA PIACENTINI       ","3) MATERIAL A SEREM FUNDIDAS: MBJ-M1 (ASTM A128 GR. ""A"")                    ","4) CERTIFICADO INCLUSO: ANALISE QUIMICA                                     ",(null)
"01",11806,4,"REFERENCIA: CUNHA DO REVESTIMENTO POS. 15 - DESENHO 01-053/01               ",(null),(null),(null),(null)
"01",19246,6,"MANTA TIPO B CH 430 - 442.798.901                                           ",(null),(null),(null),(null)
"01",19246,7,"REVEST. CAMARA CH 430 - 442.824.601                                         ",(null),(null),(null),(null)
"01",21677,1,"MAND FIXA CORRUGADA 1108 HD (CJ411) 10.114.749.000 - SANDVIK 1.150 KG       ",(null),(null),(null),(null)
"01",18965,1,"CUNHA LAT INF. DIREITA RM 120/40 FACO - 59.412.148.000 27 KG                ",(null),(null),(null),(null)
"01",20968,2,"VOLUTA MANUTVALE 8"" 286 KG (PESO INFORMADO)                                 ",(null),(null),(null),(null)
"01",19839,1,"CORPO B-2550 300X300 (13KG)                                                 ",(null),(null),(null),(null)
"01",18965,2,"CUNHA LAT INF. ESQ RM 120/40 FACO 59.412.147.000 27 KG                      ",(null),(null),(null),(null)
"01",17820,0,"1) PRAZO DE ENTREGA: ITEM 5 - 20 DIAS / DEMAIS ITENS: IMEDIATO              ",(null),(null),(null),(null)
"01",18965,3,"CUNHA LAT SUP DIR RM 120/40 59.412.149.000 80KG                             ",(null),(null),(null),(null)
"01",18965,4,"CUNHA LAT SUP. ESQ FACO RM 120/40 - 59.412.150.000 80KG                     ",(null),(null),(null),(null)
"01",32207,0,"1) DADOS P/ PAGAMENTO: BANCO DAYCOVAL(707) /  AG. 0001 /  C/C. 000735625-2  ","2) CONFIRMAR PAGAMENTO                                                      ",(null),(null),(null)
"01",19032,0,"COND. PGTO: ENTRADA DE R$ 4.430,00 E 28 DIAS R$ 4.000,00                    ",(null),(null),(null),(null)
"01",21951,1,"-CARRETEL DE RECALQUE P/ BOMBAS ASTM A 532 III TIPO A / PRECO P/ KG         ",(null),(null),(null),(null)
"01",19839,2,"CASTELO B-2551 (6,3KG)                                                      ",(null),(null),(null),(null)
"01",19839,3,"CAPUZ 10416 (1,3 KG)                                                        ",(null),(null),(null),(null)
"01",20640,1,"REVESTIMENTO BOJO GROSSO STD N-5520867 -METSO - 915 KG                      ",(null),(null),(null),(null)
"01",18817,1," COD ORIGINAL 55309257                                                      ",(null),(null),(null),(null)
"01",18817,2,"REVESTIMENTO BOJO COD ORIGINAL 552.092.52 PESO                              ",(null),(null),(null),(null)
"01",18817,4,"PLACA DE ALIMENTACAO COD ORIGINAL N 98000008 . T 0115                       ",(null),(null),(null),(null)
"01",8077,0,"PRAZO DE ENTREGA: 40 DIAS APOS A CONFIRMACAO DO PEDIDO E CHEGADA DO MODELO  ","EM NOSSA FABRICA.                                                           ",(null),(null),(null)
"01",22558,1,"* PRAZO DE ENTREGA: 5 DIAS A CONTAR DA DATA DE CONFIRMACAO DO PEDIDO*       ",(null),(null),(null),(null)
"01",22833,0,"1) COND DE PGTO VALIDA PARA PARCELAS DE NO MINIMO R$ 1.500,00               ",(null),(null),(null),(null)
"01",19288,0,(null),(null),(null),(null),(null)
"01",7971,0,"1) PRAZO DE ENTREGA: 45 DIAS A CONTAR DA DATA DA CONFIRMACAO DO PEDIDO, COND","ICIONADO A CHEGADA DO MODELO EM NOSSA FABRICA                               ","2) CERTIFICADOS INCLUSOS: ANALISE QUIMICA E METALOGRAFIA                    ",(null),(null)
"01",16953,0,"PECAS SENDO LEVADAS PARA MANUTENCAO NO CLIENTE, COM POSSIBILIDADES DE RETOR-","NO. NAO ENVIAR AO BANCO. MANTER EM CARTEIRA.                                ",(null),(null),(null)
"01",18965,0,"FAVOR CONSIDERAR O PRAZO DE ENTREGA 30/45 DIAS A CONTAR DA DTA DE CONFIRMACA","DO PEDIDO.                                                                  ",(null),(null),(null)
"01",20641,1,"CUNHA LATERAL SUPERIOR  COD 10314386000- PESO 168 KG (SANDVIK 907-HD)       ",(null),(null),(null),(null)
"01",20641,2,"CUNHA LAT INFERIOR COD 10314404000 PESO 135 KG (SANDVIK 907-HD)             ",(null),(null),(null),(null)
"01",32208,0,"1) DADOS P/ PAGAMENTO: BANCO DAYCOVAL(707) /  AG. 0001 /  C/C. 000735625-2  ","2) CONFIRMAR PAGAMENTO                                                      ","3) PRAZO DE ENTREGA: 75 DIAS APOS CONFIRMACAO DO PEDIDO                     ",(null),(null)
"01",22038,0,"MATERIAL: BANDEJAS / BOCA DE ALIMENTACAO DE COMBUSTIVEL                     ",(null),(null),(null),(null)
"01",32221,0,"1) COND. PAGTO 21/28/35/42DDL 2) VALOR/KG  R$33,90 - MATERIAL SAE 1020 (A2) ","3) PECAS SERAO PESADAS POS FUNDICAO E COBRADAS AO PRECO/KG SUPRACITADO      ","4) MODELOS POR CONTA DO CLIENTE                                             ","5) PECAS SERAO ENTREGUES BRUTAS DE FUNDICAO - SEM USINAGEM                  ","6) PRAZO DE ENTREGA: A COMBINAR                                             "
"01",20952,11,"USINAGEM EIXO - SECADOR R$ 1.770,00 / PECA                                  ",(null),(null),(null),(null)
"01",20952,12,"MONTAGEM ROLDANA COM EIXO R$ 270,00 / CONJUNTO                              ",(null),(null),(null),(null)
"01",32221,1,"              **** POLIA -  MATERIAL SAE 1020 (A2) - 2PECAS                 ",(null),(null),(null),(null)
"01",20968,1,"ROTOR DE 4 PALHETAS MANUTVALE PESO 115 KG (PESO INFORMADO)                  ",(null),(null),(null),(null)
"01",20155,1," 25 DIAS UTEIS A CONTAR DA DATA DE CONFIRMACAO DO PEDIDO                    ",(null),(null),(null),(null)
"01",16007,0,"DECLINOU - PRECO - JOSE CARLOS                                              ",(null),(null),(null),(null)
"01",20383,3," REVESTIMENTO DA CAMARA INFERIOR 442.8478.00 -  SANDVIK S 3000 ( 503 KG)    ",(null),(null),(null),(null)
"01",19780,3,"CUNHA LATERAL INFERIOR DIR/ESQ 185 KG *80301311080* C- 125                  ",(null),(null),(null),(null)
"01",22380,0,"1) PRAZO DE ENTREGA: 10 DIAS A CONTAR DA DATA DA CONFIRMACAO DO PEDIDO      ","2) ITEM 01: EQUIVALENTE AO CODIGO METSO B90394060A                          ","3) ITEM 02: EQUIVALENTE AO CODIGO METSO B96394049E                          ","4) ITEM 03: EQUIVALENTE AO CODIGO METSO B96334140A                          ",(null)
"01",18008,7,"MANDIBULA FIXA 822 KG                                                       ",(null),(null),(null),(null)
"01",19780,4,"CUNHA LATERAL SUPERIOR DIR/ESQ 304 KG *80301310080* C 125                   ",(null),(null),(null),(null)
"01",18008,8,"MANDIBULA MOVEL 812 KG                                                      ",(null),(null),(null),(null)
"01",20646,2,"REVESTIMENTO DO BOJO COD N.55209252  HP 4 -1161 KG  METSO                   ",(null),(null),(null),(null)
"01",14574,0,"***EM CASO DE NECESSIDADE DE ANTECIPAR OU POSTERGAR ENTREGA, A CONSTRUTORA  ","SAID DEVERA COMUNICAR A PIACENTINI COM 15 DIAS DE ANTECEDENDIA.             ",(null),(null),(null)
"01",19752,3,"CAPUZ BLINDADO 10419 (4,9 KG) WCB A 216 GR.                                 ",(null),(null),(null),(null)
"01",29735,0,"O CLIENTE NAO ACEITA NOTA EMITIDA APOS O DIA 25 DO MES.                     "," PRAZO DE ENTREGA 10 DIAS A CONTAR DA  DATA DO PEDIDO.                      ",(null),(null),(null)
"01",20476,0,"ESTE PEDIDO REFERE-SE A NF DE DEVOLUCAO 6.143 (CASTELO B44861 (A2) NF DE    ","DEVOLUCAO 6.175 (B100151 (A2) LEMBRANDO QUE A NF 6.177 (CAPUZ 10416 A2)     ","CLIENTE NAO COBROU A REPOSICAO                                              ",(null),(null)
"01",16768,0,"1) QUANTIDADE CONSIDERANDO 04 JOGOS                                         ",(null),(null),(null),(null)
"01",20103,2,"MANTA FINA CODIGO ANTIGO BJ 045-1008                                        ",(null),(null),(null),(null)
"01",20103,3,"REVESTIENTO GROSSO "" FINO"" CODIGO ANTIGO BJ 045-2022                        ",(null),(null),(null),(null)
"01",20646,4,"PLACA DE ALIMENTACAO COD 6555-8093 (N 98000008) HP 4                        ",(null),(null),(null),(null)
"01",20646,6,"REVESTIMENTO DO BOJO COD. 10140301022 HP 300 - PESO                         ",(null),(null),(null),(null)
"01",19914,1,"REVESTIMENTO MEDIO 48294612 - 814 SX 1144 - NORDBERGER                      ",(null),(null),(null),(null)
"01",20646,7,"MANTA COD.10140298002 HP 300 -PESO                                          ",(null),(null),(null),(null)
"01",21266,0,"A/C EXPEDICAO: CLIENTE VAI DEFINIR SE ACIONA TRANSPORTADORA OU SE VEM RETIRA",(null),(null),(null),(null)
"01",21484,1,"DESENHO: X- 220840-18 (SOMENTE TORNEAMENTO)                                 ","PRAZO DE ENTREGA 10 DIAS                                                    ",(null),(null),(null)
"01",20622,1," REVESTIMENTO GROSSO OC 1500.0080                                           ",(null),(null),(null),(null)
"01",20622,2,"MANTA EXTRA GROSSA 1500.0021 2 PECAS EM ESTOQUE                             ",(null),(null),(null),(null)
"01",20622,9,"3 PECAS EM ESTOQUE                                                          ",(null),(null),(null),(null)
"01",20659,0,"1) PRAZO DE ENTREGA: 10 DIAS A CONTAR DA DATA DA CONFIRMACAO DO PEDIDO      ",(null),(null),(null),(null)
"01",20952,1,"USINAGEM - ROLDANA (RESFRIADOR) 3000X 32000 - R$ 2.385,00/PC                ",(null),(null),(null),(null)
"01",21484,2," - DESENHO: X-220484-05 (SOMENTE TORNEAMENTO)                               ","PRAZO DE ENTREGA: 10 DIAS                                                   ",(null),(null),(null)
"01",27817,1,"* TUBO REFORCADO * P.E: 21 DIAS APOS DATA DO PEDIDO *                       ",(null),(null),(null),(null)
"01",20196,3,"REVESTIMENTO INFERIOR EXTRA GROSSO CS 430 540KG 442.847.700                 ",(null),(null),(null),(null)
"01",32191,0,"1) VALOR MATERIAL P/KG  R$35,80  ASTM-A316 GR WCB  (A2)                     ","2) PECAS SERAO PESADAS POS FUNDICAO E COBRADAS AO PRECO/KG SUPRACITADO      ","3) MODELOS POR CONTA DO CLIENTE                                             ","4) PECAS SERAO ENTREGUES BRUTAS DE FUNDICAO - SEM USINAGEM                  ","5) PRAZO DE ENTREGA: A COMBINAR                                             "
"01",21484,3," - DESENHO: X-220495-07 (SOMENTE TORNEAMENTO)                               ","PRAZO DE ENTREGA 10 DIAS                                                    ",(null),(null),(null)
"01",20196,1,"MANTA CONE CS 430 CODIGO 442.847.101 658KG                                  ",(null),(null),(null),(null)
"01",32191,1,"          ***DES. 099-001-0793- NATERIAL ASTM A216 GR WCB (A2) 1130KG. 2PCS ",(null),(null),(null),(null)
"01",20196,2,"REVSTIMENTO SUPERIOR EXTRA GROSSO CS 430 54KG COD 442.848.400               ",(null),(null),(null),(null)
"01",27513,0,"- PRAZO DE ENTREGA:30 DIAS APOS RECEBIMENTO DO MODELO E DO PEDIDO DE COMPRAS","- PESO DE BALANÁA CONSIDERADO PARA FATURAMENTO: BALANCA PIACENTINI          ","- 50% NO ATO DO PEDIDO E 50% CONTRA ENTREGA                                 ",(null),(null)
"01",20290,1,"5 PECAS IMEDIATO                                                            ",(null),(null),(null),(null)
"01",20106,0,"1) CONJUNTO MECANICO COMPOSTO POR: EIXO DE ACIONAMENTO, CAIXA DE ROLAMENTO, ","PROTETOR DO EIXO, PROTETOR DE DESGASTE, TAMPA DA CX DE ROLAMENTO, RETENTOR, ","CONTRAPESO, PROTETOR DO CONTRAPESO, CUBO DE CONEXAO, BICO DE LUBRIFICA«√O E ","ROLAMENTO.                                                                  ","2) PRAZO DE ENTREGA: 20 DIAS A CONTAR DA DATA DA CONFIRMA«√O DO PEDIDO      "
"01",32227,3," ** PRAZO DE ENTREGA 60 DIAS A CONTAR DA DATA DO PEDIDO.                    ",(null),(null),(null),(null)
"01",23924,6,"*MAND MOVEL (6 DENTES WT) 1021.318.5000 - 1330KG *FACO 100/60 *             ",(null),(null),(null),(null)
"01",29821,0,"COND PAGAMENTO 28 DDL                                                       ","O CLIENTE NAO RECEBE NOTA APOS O DIA 25 DO MES.                             "," PRAZO DE ENTREGA  50 DIAS A CONTAR DA  DATA DO PEDIDO.                     ",(null),(null)
"01",20862,1,"REVESTIMENTO HP 200 STD MEDIO (5520-8137)                                   ",(null),(null),(null),(null)
"01",20383,4," REVESTIMENTO CAMARA SUPERIOR 442.8485.00 SANDVIK S 3000 ( 90 KG)           ",(null),(null),(null),(null)
"01",20383,5," MANTA B 442.8471.01 SANDVIK S 3000 (658KG)                                 ",(null),(null),(null),(null)
"01",20383,1," MANTA B 442.7230.01 - SANDVIK H 4000                                       ",(null),(null),(null),(null)
"01",20383,2," REVESTIMENTO 442.8419.01 SANDVIK H 4000                                    ",(null),(null),(null),(null)
"01",20952,2,"USINAGEM - EIXO (RESFRIADOR) R$ 1.455,00/PECA                               ",(null),(null),(null),(null)
"01",21040,1,"USINAGEM ROLDANA 534 X 220                                                  ",(null),(null),(null),(null)
"01",22562,0,"MATERIAL: WC9                                                               ",(null),(null),(null),(null)
"01",21051,3,"MANDIBULA FIXA 7 DENTES AP 550M2200695 PESO 1467 KG - LIGA 710              ",(null),(null),(null),(null)
"01",20666,2,"REVESTIMENTO DO BOJO HP 4 N 55209252 - PESO 1161 KG                         ",(null),(null),(null),(null)
"01",22217,6,"MPC 4 B (MN) REVEST SUP 22533 / 22239 (SR)                                  ",(null),(null),(null),(null)
"01",20666,1,"MANTA HP 4 N 55309257                                                       ",(null),(null),(null),(null)
"01",22562,1,"*** PRECO POR KG ***                                                        ",(null),(null),(null),(null)
"01",20646,16,"MANDIBULA FIXA 7 DENTES WT 102.132.06000 BM 100/60 1310 KG                  ",(null),(null),(null),(null)
"01",22016,1,"- CODIGO 55208272- METSO                                                    ",(null),(null),(null),(null)
"01",20952,3,"MONTAGEM ROLDANA COM EIXO: R$ 270,00 / CONJUNTO.                            ",(null),(null),(null),(null)
"01",21842,0,"1) PRAZO DE ENTREGA:                                                        ","- ITEM 01: IMEDIATO                                                         ","- ITEM 02: 25 DIAS A CONTAR DA DATA DA CONFIRMA«√O DO PEDIDO                ",(null),(null)
"01",22016,2," - CODIGO 55308265 - METSO                                                  ",(null),(null),(null),(null)
"01",20605,1,"CUNHA DE FIXACAO DA MANDIBULA COD. 10314385000 22KG                         ",(null),(null),(null),(null)
"01",20622,4,"REVESTIMENTO M 442.8816-01 SANDVIK 660 (1450 KG)                            ",(null),(null),(null),(null)
"01",20952,4,"USINAGEM - ROLDANA 3200 X 8600 (RECOBRIDOR) - R$ 2.385,00/PECA              ",(null),(null),(null),(null)
"01",20952,5,"USINAGEM - EIXO RECOBRIDOR R$ 1.295,00/PECA                                 ",(null),(null),(null),(null)
"01",20622,5,"MANTA HP 4 COD N 55309257 1060 KG 5 PECAS EM ESTOQUE                        ",(null),(null),(null),(null)
"01",20622,6,"REVESTIMENTO HP 4 COD N55209252 1161 KG                                     ",(null),(null),(null),(null)
"01",29793,0,"****PRAZO DE ENTREGA A CONFIRMAR - CONDICIONADO A QUANTIDADE                ",(null),(null),(null),(null)
"01",23931,1,"*ANEL CORTE HP4 094126303/N12080210                                         ",(null),(null),(null),(null)
"01",30650,0,"1) DADOS P/ PAGAMENTO : BANCO DAYCOVAL(707) - AG. 0001 - C/C. 000735625-2   ","2) CONFIRMAR PAGAMENTO                                                      ",(null),(null),(null)
"01",23931,2,"*PLACA ALIMENTACAO HP4 N98000008                                            ",(null),(null),(null),(null)
"01",29050,0,(null),(null),(null),(null),(null)
"01",27004,0,"1) P.E : 35 DIAS A CONTAR DA DATA DE CONFIRMACAO DO PEDIDO                  ","2) PELO FATO DE SER FUNDIDO A PRIMEIRA VEZ SERA COBRADO O PRE«O/KG          ","3) PRECO N1 - R$ 24,60 / KG                                                 ",(null),(null)
"01",23017,6,"PRAZO DE ENTREGA: 40 DIAS                                                   ",(null),(null),(null),(null)
"01",30576,0,"DADOS PARA DEPOSITO BANCO DAYCOVAL (707)AG. 0001 -   C/C ? 000735625-2      ","CONFIRMAR SOLICITACAO DAS PECAS POIS NAO REALIZAMOS TROCA                   ",(null),(null),(null)
"01",26166,45,"VEDACOES / RESPIROS / ELEMENTOS DE FIXACAO                                  ",(null),(null),(null),(null)
"01",23865,0,"*P. E: 50/55 DIAS A CONTAR DA DATA DE CHEGADA DO MODELO JUNTO AO PEDIDO     ","PRE«OS INFORMADOS P/ KG, LEMBRANDO QUE PELO FATO DE SER A PRIMEIRA VEZ      ","A SER FUNDIDO IREMOSPESAR A PE«A E MIULTIPLICAR PELO PRE«O/KG               ","8635-(A12) R$ 19,60/KG 4340 (A14) - R$ 20,90/KG                             ",(null)
"01",23931,3,"*REVESTIMENTO MANTA FIXO HP 4 N55209252* 1161 KG                            ",(null),(null),(null),(null)
"01",23040,0,"REFERENTE AO SEU DESENHO B412MX05136                                        ","MATERIAL ASTM A216 GR. WCB                                                  ","MODELO INCLUSO                                                              ","VALOR POR KG                                                                ","PRAZO DE ENTREGA: 40 DIAS CORRIDOS                                          "
"01",23624,1,"REVESTIMENTO INFERIOR EC 463 KG  - COD 442.8478-00 CS 430                   ",(null),(null),(null),(null)
"01",27004,1,"ROTOR CELULA DE FLOTA«√O 20 M≥ALMA MET¡LICA /PU-107.104/ GGG40 125K/PC      ",(null),(null),(null),(null)
"01",31136,0,"1) VALOR MATERIAL P/KG  R$43,20  AISI 410 (I5)                              ","2) PECAS SERAO PESADAS POS FUNDICAO E COBRADAS AO PRECO/KG SUPRACITADO      ","3) MODELOS POR CONTA DO CLIENTE                                             ","4) PECAS SERAO ENTREGUES BRUTAS DE FUNDICAO - SEM USINAGEM                  ","5) PRAZO DE ENTREGA: A COMBINAR                                             "
"01",31426,0,"PRAZO DE ENTREGA 75 DIAS A CONTAR DA DATA DO PEDIDO.                        ",(null),(null),(null),(null)
"01",31548,0,"DADOS PARA DEPOSITO BANCO DAYCOVAL (707)AG. 0001 -   C/C ? 000735625-2      ",(null),(null),(null),(null)
"01",30695,0,"PRAZO DE ENTREGA 100 DIAS A CONTAR DA DATA DO PEDIDO.                       ",(null),(null),(null),(null)
"01",23303,1,"** P.E: 10 DIAS A CONTAR DA DATA DE ENTREGA DO PEDIDO **                    ",(null),(null),(null),(null)
"01",23624,2,"**REVESTIMENTO M 442.8419-01 PESO 845  CH 440**                             ",(null),(null),(null),(null)
"01",23196,0,(null),(null),(null),(null),(null)
"01",23624,3,"**MANTA TIPO ""A"" 442.7225-01 PESO 688 KG  - CH 440**                        ",(null),(null),(null),(null)
"01",23624,4,"**REVESTIMENTO FINO N55208141 HP 200 567 KG**                               ",(null),(null),(null),(null)
"01",22834,0,"* VALOR DE PARCELAMENTO MINIMO R$ 1.500,00 *                                ",(null),(null),(null),(null)
"01",21134,1,"ROTOR COMPLETO: EIXO, MANCAIS, LABIRINTOS, ROLAMENTOS, DISCOS DUPLO, DISCO  ","PROTETOR SEM POLIA.                                                         ",(null),(null),(null)
"01",23075,1,"** P.E : 25 DIAS A CONTAR DA DATA DE CONFIRMACAO DO PEDIDO **               ",(null),(null),(null),(null)
"01",21383,1," - MAND MOVEL 120X90 FACO DENTE WT COD 10.113.252.000 PESO 2088 KG          ",(null),(null),(null),(null)
"01",31136,1,"      ****SEPARADOR DE MASSA - AISI 410 (MBJ I5) - 110KG                    ",(null),(null),(null),(null)
"01",32591,0,"1) DADOS P/ PAGAMENTO: BANCO DAYCOVAL(707) /  AG. 0001 /  C/C. 000735625-2  ","2) CONFIRMAR PAGAMENTO                                                      ",(null),(null),(null)
"01",22931,1,"**** PRAZO DE ENTREGA A COMBINAR ***                                        ",(null),(null),(null),(null)
"01",23624,5,"**MANTA FINO N55308011 HP 200 PESO 497**                                    ",(null),(null),(null),(null)
"01",20622,7,"MANDIBULA FIXA CORRUGADA JAW 907HD 840KG                                    ",(null),(null),(null),(null)
"01",20622,8,"MANDIBULA MOVEL 102M014 SANDIVIK JAW 907 850 KG                             ",(null),(null),(null),(null)
"01",20666,3,"ANEL DE CORTE HP 4 N1208210                                                 ",(null),(null),(null),(null)
"01",20622,11,"MAND FIXA CORRUGADA SANDVIK 1108-HD 1620KG                                  ",(null),(null),(null),(null)
"01",20622,12,"MAND MOVEL CORRUGADA SANDVIK  10114749000 1650 KG                           ",(null),(null),(null),(null)
"01",20646,15,"MANDIBULA MOVEL 06 DENTES W.T 102.131.85000 BM 100/60 - 1300 KG             ",(null),(null),(null),(null)
"01",20646,17,"CUNHA SUPERIOR LADO DIREITO 59312246.000 BM 100/60 - 205 KG                 ",(null),(null),(null),(null)
"01",20646,18,"CUNHA SUPERIOR LADO ESQUERDO 59312247000 BM 100/60 - 205 KG                 ",(null),(null),(null),(null)
"01",20646,19,"CUNHA INFERIOR LADO DIREITO 59412248000 BM 100/60 - 100 KG                  ",(null),(null),(null),(null)
"01",20646,20,"CUNHA INFERIOR LADO ESQUERDO 59412248000 BM 100/60 - 100 KG                 ",(null),(null),(null),(null)
"01",20646,21,"MANDIBULA MOVEL WT 10.113.322.000 BM 100/80  - PESO 1590KG                  ",(null),(null),(null),(null)
"01",20646,22,"MANDIBULA FIXA D.WT 10.113.321.000 BM 100/80 - PESO 1500KG                  ",(null),(null),(null),(null)
"01",20646,23,"CUNHA LAT INF DIR. 59.428.501.000 BM 100/80 - PESO 124 KG                   ",(null),(null),(null),(null)
"01",20646,24,"CUNHAQ LAT.INF ESQ.59.428.503.000 BM 100/80 - PESO 124 KG                   ",(null),(null),(null),(null)
